iter	MultiClass
0	1.435853858
1	1.317814914
2	1.225501865
3	1.153043241
4	1.09587187
5	1.0448336
6	1.004096458
7	0.9694037972
8	0.9390507392
9	0.9146157964
10	0.8913954216
11	0.8691033115
12	0.8523535256
13	0.8368867393
14	0.8217817186
15	0.8063751456
16	0.7951822028
17	0.7848839751
18	0.7738227905
19	0.7653938432
20	0.757114443
21	0.7520902102
22	0.7457068506
23	0.7380162731
24	0.7320769534
25	0.7275187686
26	0.7231819245
27	0.7173357379
28	0.7144813646
29	0.7114342896
30	0.7089927956
31	0.7060882904
32	0.7032357894
33	0.7012574754
34	0.6988982279
35	0.6953416271
36	0.6928418261
37	0.6902010976
38	0.6870510486
39	0.6849398803
40	0.6822529832
41	0.6795087729
42	0.6779874962
43	0.676396957
44	0.6755558703
45	0.6740737304
46	0.6734547113
47	0.6725667871
48	0.6713020709
49	0.6705036857
50	0.6690327151
51	0.6680604255
52	0.6674710149
53	0.667108857
54	0.664937245
55	0.6648214539
56	0.6637059956
57	0.6622162359
58	0.6608416482
59	0.6606633315
60	0.6599800138
61	0.6592395154
62	0.6580321113
63	0.657520012
64	0.6568783506
65	0.6558768255
66	0.6551535689
67	0.6538904505
68	0.6530389914
69	0.6527032903
70	0.651612844
71	0.6510725602
72	0.6506930071
73	0.6502549049
74	0.6493442318
75	0.6487643799
76	0.6483050966
77	0.647841351
78	0.6476787622
79	0.647069364
80	0.6466783232
81	0.6466335624
82	0.6459452168
83	0.645847017
84	0.6450820946
85	0.644833828
86	0.6444705873
87	0.6433768621
88	0.6422674651
89	0.6421162172
90	0.6417447273
91	0.6415897211
92	0.6406630748
93	0.6394346527
94	0.6392862074
95	0.6389104791
96	0.6383920997
97	0.6383411938
98	0.6374944806
99	0.6373170193
100	0.636914576
101	0.6361127021
102	0.636032167
103	0.6352398028
104	0.6348530809
105	0.6348348092
106	0.6345718303
107	0.6342409801
108	0.6340277759
109	0.633745076
110	0.6327889078
111	0.6323241686
112	0.6319738583
113	0.6314251888
114	0.6305162483
115	0.6301986427
116	0.6296973952
117	0.6295524682
118	0.6286403028
119	0.628254482
120	0.6281592794
121	0.6270960359
122	0.6268806078
123	0.6267231268
124	0.6260320156
125	0.6259475441
126	0.625658625
127	0.6252995203
128	0.6246472002
129	0.6245178724
130	0.6240971085
131	0.6239585908
132	0.6237918579
133	0.6233480284
134	0.6227722644
135	0.6225174982
136	0.6223915368
137	0.6222061438
138	0.6217503653
139	0.6214189965
140	0.6212445075
141	0.6209635907
142	0.6203863826
143	0.6202205926
144	0.6197771298
145	0.6192027624
146	0.6187285348
147	0.6181252656
148	0.6178219093
149	0.6176139181
150	0.6175112351
151	0.6171608251
152	0.6167739816
153	0.6161408048
154	0.615668056
155	0.6153558665
156	0.6152588943
157	0.615166278
158	0.6146925222
159	0.6142152357
160	0.6140388804
161	0.6138382899
162	0.6134569443
163	0.6132891855
164	0.6131896625
165	0.6130278888
166	0.6127735328
167	0.6126395211
168	0.6121896173
169	0.6121128485
170	0.6115374506
171	0.6111246284
172	0.6107284389
173	0.610484083
174	0.6100961563
175	0.6099458746
176	0.6096694603
177	0.6096290941
178	0.6094957917
179	0.6093644511
180	0.6089884515
181	0.6088952691
182	0.6086001388
183	0.6085047938
184	0.6082788724
185	0.6077674557
186	0.6076830302
187	0.6072223328
188	0.6070738446
189	0.6067370137
190	0.6066056121
191	0.6065315512
192	0.6064277448
193	0.6062212282
194	0.6059907312
195	0.605598829
196	0.6055308109
197	0.6054346287
198	0.605210713
199	0.6050668414
200	0.604420753
201	0.6041161877
202	0.6040271888
203	0.6038956621
204	0.6036331223
205	0.6032984279
206	0.6031412061
207	0.6029074038
208	0.6027808216
209	0.602392219
210	0.6020893842
211	0.6019564801
212	0.601708909
213	0.601585828
214	0.6014734238
215	0.6013289781
216	0.6012756156
217	0.6011694838
218	0.6008854781
219	0.6007482245
220	0.6005763438
221	0.6005378057
222	0.6004188553
223	0.600348715
224	0.5998072357
225	0.5996815974
226	0.5991745739
227	0.5987216995
228	0.5985529024
229	0.5982673361
230	0.5980784166
231	0.5978632075
232	0.5978513677
233	0.5977215914
234	0.597333332
