iter	Passed	Remaining
0	126	126432
1	168	83974
2	211	70373
3	256	63851
4	297	59253
5	339	56283
6	381	54127
7	418	51871
8	465	51245
9	505	50065
10	544	48954
11	584	48122
12	618	46955
13	656	46268
14	722	47465
15	761	46841
16	797	46132
17	830	45293
18	867	44778
19	901	44170
20	933	43526
21	961	42740
22	993	42199
23	1025	41718
24	1059	41314
25	1091	40892
26	1122	40440
27	1151	39987
28	1183	39620
29	1213	39249
30	1241	38820
31	1270	38421
32	1305	38243
33	1333	37898
34	1361	37548
35	1394	37339
36	1428	37178
37	1460	36972
38	1496	36880
39	1526	36631
40	1558	36459
41	1594	36367
42	1624	36149
43	1651	35888
44	1681	35683
45	1716	35605
46	1744	35381
47	1773	35177
48	1801	34966
49	1833	34834
50	1864	34690
51	1893	34513
52	1922	34349
53	1950	34164
54	1977	33978
55	2005	33804
56	2036	33689
57	2069	33603
58	2100	33506
59	2129	33364
60	2161	33280
61	2193	33182
62	2224	33089
63	2252	32949
64	2284	32860
65	2316	32776
66	2344	32650
67	2378	32599
68	2407	32481
69	2434	32342
70	2462	32223
71	2490	32096
72	2520	32002
73	2547	31883
74	2580	31822
75	2612	31765
76	2641	31662
77	2671	31581
78	2700	31481
79	2730	31402
80	2761	31331
81	2789	31224
82	2816	31112
83	2843	31007
84	2874	30944
85	2902	30845
86	2929	30746
87	2967	30757
88	3003	30742
89	3034	30684
90	3060	30568
91	3086	30462
92	3115	30387
93	3149	30351
94	3176	30259
95	3216	30286
96	3248	30240
97	3277	30165
98	3304	30076
99	3331	29984
100	3360	29911
101	3393	29878
102	3420	29784
103	3448	29712
104	3479	29655
105	3506	29570
106	3537	29522
107	3565	29451
108	3596	29396
109	3626	29344
110	3660	29316
111	3690	29258
112	3723	29227
113	3753	29172
114	3788	29151
115	3820	29117
116	3850	29062
117	3880	29005
118	3915	28985
119	3949	28963
120	3977	28893
121	4010	28865
122	4038	28793
123	4066	28730
124	4100	28702
125	4126	28626
126	4156	28571
127	4188	28534
128	4218	28483
129	4246	28417
130	4275	28363
131	4305	28313
132	4333	28248
133	4361	28189
134	4395	28161
135	4422	28098
136	4452	28046
137	4482	27998
138	4511	27946
139	4540	27891
140	4566	27820
141	4594	27763
142	4627	27734
143	4657	27689
144	4691	27662
145	4722	27625
146	4751	27573
147	4783	27537
148	4813	27493
149	4842	27441
150	4870	27386
151	4901	27347
152	4937	27335
153	4970	27305
154	5003	27279
155	5033	27229
156	5058	27160
157	5083	27088
158	5112	27041
159	5140	26988
160	5169	26940
161	5196	26879
162	5226	26837
163	5260	26813
164	5289	26765
165	5317	26717
166	5347	26675
167	5377	26629
168	5409	26598
169	5438	26552
170	5466	26502
171	5499	26475
172	5528	26428
173	5557	26382
174	5583	26324
175	5610	26269
176	5640	26227
177	5666	26166
178	5694	26116
179	5725	26082
180	5755	26043
181	5782	25989
182	5809	25934
183	5835	25880
184	5866	25843
185	5893	25793
186	5925	25762
187	5957	25731
188	5988	25696
189	6020	25664
190	6048	25618
191	6077	25577
192	6109	25544
193	6137	25498
194	6166	25454
195	6199	25428
196	6228	25387
197	6255	25337
198	6284	25296
199	6313	25252
200	6346	25230
201	6376	25191
202	6404	25143
203	6432	25101
204	6462	25062
205	6495	25034
206	6524	24996
207	6555	24962
208	6583	24917
209	6616	24889
210	6648	24861
211	6679	24826
212	6709	24789
213	6736	24740
214	6763	24694
215	6792	24655
216	6820	24610
217	6848	24567
218	6878	24529
219	6907	24488
220	6933	24439
221	6964	24408
222	6996	24376
223	7022	24329
224	7054	24299
225	7085	24266
226	7120	24248
227	7149	24208
228	7178	24167
229	7207	24130
230	7236	24089
231	7267	24057
232	7292	24006
233	7321	23968
234	7353	23937
235	7380	23892
236	7409	23855
237	7442	23827
238	7470	23787
239	7499	23747
240	7529	23711
241	7560	23681
242	7587	23636
243	7616	23599
244	7649	23573
245	7678	23535
246	7707	23495
247	7735	23455
248	7761	23410
249	7791	23373
250	7819	23335
251	7850	23301
252	7874	23249
253	7902	23210
254	7940	23197
255	7973	23174
256	8004	23142
257	8037	23115
258	8072	23094
259	8102	23060
260	8133	23028
261	8163	22994
262	8193	22959
263	8221	22919
264	8252	22888
265	8282	22853
266	8310	22815
267	8338	22775
268	8367	22738
269	8396	22702
270	8423	22659
271	8451	22621
272	8483	22591
273	8510	22548
274	8541	22517
275	8571	22483
276	8599	22446
277	8629	22411
278	8658	22375
279	8687	22340
280	8712	22292
281	8743	22261
282	8769	22217
283	8797	22180
284	8830	22152
285	8860	22120
286	8889	22084
287	8919	22051
288	8945	22008
289	8977	21978
290	9006	21942
291	9038	21914
292	9068	21880
293	9098	21847
294	9124	21805
295	9151	21765
296	9175	21719
297	9205	21685
298	9238	21658
299	9266	21621
300	9299	21596
301	9325	21554
302	9352	21512
303	9380	21477
304	9410	21444
305	9442	21414
306	9469	21376
307	9500	21344
308	9528	21307
309	9554	21266
310	9579	21223
311	9609	21191
312	9641	21161
313	9670	21126
314	9702	21099
315	9732	21065
316	9762	21033
317	9795	21008
318	9820	20963
319	9854	20941
320	9887	20914
321	9915	20878
322	9948	20850
323	9979	20821
324	10009	20789
325	10043	20764
326	10069	20724
327	10100	20694
328	10134	20669
329	10167	20642
330	10191	20598
331	10217	20557
332	10245	20522
333	10276	20492
334	10302	20451
335	10331	20416
336	10357	20376
337	10385	20340
338	10411	20301
339	10444	20275
340	10472	20239
341	10502	20206
342	10532	20173
343	10560	20139
344	10592	20111
345	10619	20073
346	10649	20040
347	10676	20003
348	10702	19963
349	10730	19928
350	10762	19899
351	10793	19869
352	10826	19843
353	10853	19805
354	10881	19770
355	10906	19730
356	10934	19694
357	10965	19664
358	10997	19635
359	11023	19597
360	11052	19563
361	11077	19522
362	11108	19494
363	11139	19463
364	11172	19436
365	11201	19403
366	11230	19370
367	11262	19341
368	11290	19307
369	11317	19270
370	11348	19241
371	11381	19213
372	11408	19177
373	11438	19146
374	11466	19110
375	11494	19075
376	11522	19040
377	11551	19008
378	11581	18977
379	11613	18948
380	11642	18915
381	11672	18883
382	11697	18844
383	11722	18805
384	11749	18768
385	11776	18733
386	11802	18694
387	11828	18657
388	11852	18617
389	11882	18585
390	11914	18557
391	11938	18516
392	11965	18480
393	11992	18445
394	12022	18413
395	12049	18378
396	12076	18342
397	12105	18311
398	12136	18280
399	12167	18250
400	12198	18221
401	12225	18185
402	12252	18150
403	12279	18115
404	12305	18078
405	12331	18041
406	12358	18006
407	12389	17976
408	12422	17950
409	12456	17924
410	12483	17889
411	12510	17854
412	12534	17815
413	12562	17781
414	12590	17747
415	12625	17724
416	12659	17699
417	12688	17667
418	12720	17638
419	12751	17609
420	12787	17586
421	12819	17558
422	12855	17535
423	12886	17505
424	12918	17477
425	12947	17446
426	12980	17418
427	13017	17397
428	13044	17362
429	13073	17330
430	13103	17299
431	13128	17261
432	13160	17233
433	13188	17200
434	13215	17165
435	13246	17135
436	13274	17102
437	13303	17069
438	13337	17044
439	13371	17018
440	13406	16993
441	13437	16963
442	13464	16929
443	13492	16895
444	13521	16863
445	13553	16835
446	13583	16805
447	13617	16779
448	13652	16753
449	13682	16723
450	13716	16696
451	13745	16664
452	13777	16636
453	13808	16606
454	13842	16580
455	13874	16552
456	13906	16523
457	13938	16495
458	13968	16463
459	14002	16437
460	14037	16412
461	14074	16389
462	14108	16362
463	14146	16341
464	14178	16313
465	14208	16282
466	14240	16252
467	14269	16221
468	14299	16190
469	14329	16159
470	14366	16135
471	14399	16107
472	14442	16091
473	14480	16069
474	14513	16040
475	14543	16010
476	14574	15980
477	14603	15947
478	14630	15913
479	14657	15879
480	14682	15842
481	14712	15811
482	14740	15778
483	14772	15749
484	14803	15719
485	14838	15693
486	14869	15663
487	14902	15635
488	14932	15604
489	14960	15570
490	14991	15540
491	15022	15511
492	15050	15477
493	15083	15449
494	15112	15418
495	15140	15384
496	15168	15351
497	15196	15318
498	15225	15286
499	15263	15263
500	15291	15230
501	15321	15199
502	15355	15172
503	15388	15144
504	15419	15114
505	15451	15085
506	15481	15053
507	15508	15020
508	15534	14985
509	15562	14952
510	15589	14917
511	15621	14889
512	15649	14856
513	15681	14827
514	15705	14790
515	15730	14755
516	15758	14722
517	15786	14689
518	15819	14661
519	15851	14631
520	15879	14599
521	15911	14570
522	15942	14540
523	15974	14510
524	16006	14481
525	16038	14453
526	16066	14420
527	16093	14387
528	16126	14357
529	16153	14324
530	16181	14291
531	16207	14257
532	16236	14225
533	16268	14197
534	16296	14164
