,mid,gold_radiant,gold_dire
0,0,113825,122524
1,1,114026,127264
2,2,112645,86773
3,3,107881,96741
4,4,93938,103824
5,5,88085,114566
6,6,120392,103684
7,7,131201,114880
8,8,106230,112293
9,9,93459,115013
10,10,107572,107606
11,11,115340,106001
12,12,102809,114524
13,13,99458,124989
14,14,124887,127893
15,15,106934,120784
16,16,79659,99561
17,17,87577,117339
18,18,102139,97478
19,19,113443,99894
20,20,103559,109890
21,21,110237,104074
22,22,140593,95831
23,23,95399,90197
24,24,103917,99739
25,25,113457,95927
26,26,120329,103501
27,27,93743,112375
28,28,116221,116360
29,29,109687,102510
30,30,103410,102025
31,31,95519,80914
32,32,120552,87720
33,33,144047,116603
34,34,115057,93190
35,35,98134,110269
36,36,95341,114625
37,37,91041,91917
38,38,123171,96203
39,39,92096,89639
40,40,101416,102879
41,41,101383,94274
42,42,101127,95625
43,43,83651,103405
44,44,96152,89767
45,45,123392,75785
46,46,97775,94319
47,47,107778,95380
48,48,114688,110552
49,49,126681,113342
50,50,96525,92263
51,51,69671,119429
52,52,123626,80554
53,53,126012,108765
54,54,90280,95283
55,55,114807,110846
56,56,112030,89602
57,57,115027,112354
58,58,130963,107238
59,59,101971,123823
60,60,103565,113397
61,61,87628,105559
62,62,108755,122424
63,63,106609,100938
64,64,97865,93923
65,65,102956,108817
66,66,102580,146962
67,67,86803,80254
68,68,88507,96053
69,69,87895,102245
70,70,109148,88498
71,71,109407,94601
72,72,103300,113699
73,73,101310,120891
74,74,95981,111459
75,75,107989,103361
76,76,119352,99833
77,77,96643,98193
78,78,102299,103172
79,79,87558,124834
80,80,78111,110397
81,81,111999,110639
82,82,110413,109713
83,83,103237,101064
84,84,118912,99213
85,85,109793,109074
86,86,115244,123982
87,87,133444,103894
88,88,86684,104731
89,89,94449,113162
90,90,118792,77128
91,91,111336,104956
92,92,115232,79786
93,93,101664,115314
94,94,107469,119567
95,95,88592,102470
96,96,87980,115018
97,97,105994,89147
98,98,119182,88921
99,99,116016,117963
100,100,111765,99253
101,101,104621,96989
102,102,98308,90850
103,103,94117,103322
104,104,97217,106434
105,105,112654,104899
106,106,98099,106935
107,107,112674,82170
108,108,85255,85565
109,109,115173,110284
110,110,101401,85734
111,111,95729,107116
112,112,98104,105808
113,113,108083,118197
114,114,109388,110550
115,115,98629,109079
116,116,91633,96519
117,117,114982,106827
118,118,113812,101260
119,119,89227,109877
120,120,106784,102917
121,121,120334,102723
122,122,90582,137637
123,123,98513,85156
124,124,113700,108781
125,125,103969,85499
126,126,116610,89727
127,127,93447,105903
128,128,107512,100576
129,129,125481,102336
130,130,104893,143106
131,131,131648,91525
132,132,113019,83982
