,mid,items_radiant,items_dire
0,0,77.0,66.0
1,1,70.0,79.0
2,2,61.0,57.0
3,3,73.0,60.0
4,4,55.0,58.0
5,5,66.0,74.0
6,6,88.0,71.0
7,7,87.0,88.0
8,8,57.0,74.0
9,9,57.0,66.0
10,10,63.0,73.0
11,11,64.0,83.0
12,12,62.0,57.0
13,13,61.0,96.0
14,14,71.0,80.0
15,15,76.0,70.0
16,16,56.0,59.0
17,17,52.0,50.0
18,18,68.0,55.0
19,19,47.0,65.0
20,20,66.0,61.0
21,21,85.0,81.0
22,22,69.0,53.0
23,23,63.0,66.0
24,24,63.0,67.0
25,25,81.0,71.0
26,26,48.0,71.0
27,27,66.0,57.0
28,28,76.0,87.0
29,29,72.0,66.0
30,30,66.0,72.0
31,31,64.0,58.0
32,32,74.0,60.0
33,33,95.0,89.0
34,34,71.0,64.0
35,35,66.0,64.0
36,36,67.0,68.0
37,37,55.0,52.0
38,38,86.0,65.0
39,39,57.0,62.0
40,40,57.0,55.0
41,41,56.0,62.0
42,42,70.0,61.0
43,43,53.0,62.0
44,44,58.0,68.0
45,45,70.0,68.0
46,46,82.0,70.0
47,47,81.0,74.0
48,48,73.0,68.0
49,49,82.0,74.0
50,50,59.0,55.0
51,51,58.0,81.0
52,52,70.0,62.0
53,53,86.0,63.0
54,54,45.0,67.0
55,55,65.0,75.0
56,56,69.0,61.0
57,57,86.0,68.0
58,58,81.0,79.0
59,59,61.0,69.0
60,60,76.0,71.0
61,61,61.0,72.0
62,62,75.0,76.0
63,63,81.0,49.0
64,64,71.0,62.0
65,65,72.0,59.0
66,66,70.0,80.0
67,67,40.0,46.0
68,68,76.0,56.0
69,69,51.0,55.0
70,70,67.0,65.0
71,71,74.0,59.0
72,72,70.0,82.0
73,73,65.0,72.0
74,74,73.0,65.0
75,75,49.0,59.0
76,76,66.0,65.0
77,77,68.0,64.0
78,78,82.0,79.0
79,79,61.0,63.0
80,80,38.0,70.0
81,81,78.0,71.0
82,82,61.0,45.0
83,83,73.0,65.0
84,84,67.0,48.0
85,85,66.0,66.0
86,86,56.0,74.0
87,87,72.0,83.0
88,88,75.0,65.0
89,89,69.0,67.0
90,90,70.0,60.0
91,91,78.0,73.0
92,92,73.0,53.0
93,93,66.0,67.0
94,94,64.0,50.0
95,95,72.0,67.0
96,96,54.0,66.0
97,97,62.0,50.0
98,98,57.0,55.0
99,99,68.0,68.0
100,100,79.0,60.0
101,101,71.0,58.0
102,102,61.0,64.0
103,103,79.0,65.0
104,104,70.0,75.0
105,105,77.0,62.0
106,106,61.0,65.0
107,107,58.0,55.0
108,108,49.0,63.0
109,109,75.0,81.0
110,110,60.0,48.0
111,111,48.0,53.0
112,112,53.0,57.0
113,113,55.0,78.0
114,114,70.0,61.0
115,115,53.0,58.0
116,116,68.0,62.0
117,117,69.0,76.0
118,118,78.0,56.0
119,119,68.0,63.0
120,120,84.0,73.0
121,121,79.0,66.0
122,122,59.0,78.0
123,123,66.0,62.0
124,124,63.0,63.0
125,125,70.0,44.0
126,126,72.0,66.0
127,127,59.0,66.0
128,128,58.0,64.0
129,129,81.0,58.0
130,130,57.0,77.0
131,131,58.0,48.0
132,132,70.0,62.0
133,133,64.0,66.0
134,134,44.0,69.0
135,135,44.0,61.0
136,136,63.0,60.0
137,137,69.0,72.0
138,138,55.0,70.0
139,139,64.0,68.0
140,140,55.0,93.0
141,141,71.0,82.0
142,142,81.0,64.0
143,143,75.0,58.0
144,144,73.0,76.0
145,145,41.0,55.0
146,146,55.0,57.0
147,147,83.0,71.0
148,148,63.0,60.0
149,149,62.0,68.0
150,150,63.0,55.0
151,151,62.0,58.0
152,152,45.0,43.0
153,153,56.0,62.0
154,154,82.0,70.0
155,155,73.0,64.0
156,156,61.0,54.0
157,157,61.0,62.0
158,158,57.0,59.0
159,159,76.0,76.0
160,160,67.0,81.0
161,161,66.0,55.0
162,162,88.0,74.0
163,163,56.0,61.0
164,164,68.0,68.0
165,165,48.0,73.0
166,166,69.0,72.0
167,167,68.0,83.0
168,168,61.0,60.0
169,169,54.0,52.0
170,170,65.0,69.0
171,171,54.0,79.0
172,172,41.0,67.0
173,173,48.0,41.0
174,174,73.0,54.0
175,175,73.0,87.0
176,176,76.0,78.0
177,177,55.0,62.0
178,178,64.0,61.0
179,179,77.0,52.0
180,180,62.0,49.0
181,181,81.0,67.0
182,182,64.0,50.0
183,183,79.0,85.0
184,184,71.0,61.0
185,185,81.0,71.0
186,186,69.0,99.0
187,187,75.0,70.0
188,188,83.0,67.0
189,189,58.0,54.0
190,190,65.0,63.0
191,191,72.0,77.0
192,192,54.0,69.0
193,193,67.0,82.0
194,194,70.0,73.0
195,195,57.0,67.0
196,196,74.0,51.0
197,197,74.0,70.0
198,198,76.0,79.0
199,199,78.0,72.0
200,200,82.0,79.0
201,201,49.0,59.0
202,202,67.0,61.0
203,203,59.0,75.0
204,204,59.0,59.0
205,205,70.0,73.0
206,206,61.0,63.0
207,207,62.0,62.0
208,208,86.0,60.0
209,209,71.0,54.0
210,210,65.0,56.0
211,211,63.0,55.0
212,212,56.0,64.0
213,213,67.0,68.0
214,214,76.0,76.0
215,215,65.0,79.0
216,216,62.0,76.0
217,217,66.0,67.0
218,218,51.0,44.0
219,219,77.0,76.0
220,220,63.0,57.0
221,221,42.0,71.0
222,222,71.0,70.0
223,223,58.0,57.0
224,224,49.0,50.0
225,225,83.0,68.0
226,226,73.0,64.0
227,227,74.0,73.0
228,228,56.0,68.0
229,229,63.0,68.0
230,230,67.0,75.0
231,231,59.0,71.0
232,232,68.0,68.0
233,233,72.0,67.0
234,234,57.0,74.0
235,235,73.0,57.0
236,236,52.0,53.0
237,237,74.0,66.0
238,238,75.0,59.0
239,239,62.0,67.0
240,240,78.0,72.0
241,241,68.0,70.0
242,242,68.0,69.0
243,243,48.0,62.0
244,244,64.0,75.0
245,245,66.0,64.0
246,246,88.0,100.0
247,247,65.0,76.0
248,248,59.0,57.0
249,249,58.0,66.0
250,250,62.0,65.0
251,251,60.0,68.0
252,252,69.0,73.0
253,253,58.0,71.0
254,254,68.0,74.0
255,255,60.0,50.0
256,256,68.0,73.0
257,257,51.0,73.0
258,258,65.0,78.0
259,259,56.0,71.0
260,260,69.0,69.0
261,261,92.0,66.0
262,262,60.0,73.0
263,263,64.0,73.0
264,264,87.0,81.0
265,265,73.0,55.0
266,266,58.0,78.0
267,267,71.0,58.0
268,268,60.0,76.0
269,269,70.0,57.0
270,270,57.0,70.0
271,271,52.0,50.0
272,272,53.0,69.0
273,273,63.0,64.0
274,274,69.0,56.0
275,275,68.0,70.0
276,276,69.0,64.0
277,277,60.0,55.0
278,278,68.0,52.0
279,279,76.0,72.0
280,280,47.0,49.0
281,281,55.0,77.0
282,282,87.0,60.0
283,283,60.0,59.0
284,284,63.0,70.0
285,285,65.0,74.0
286,286,70.0,62.0
287,287,68.0,56.0
288,288,68.0,71.0
289,289,70.0,66.0
290,290,66.0,58.0
291,291,62.0,64.0
292,292,88.0,77.0
293,293,48.0,61.0
294,294,62.0,63.0
295,295,66.0,50.0
296,296,82.0,65.0
297,297,43.0,67.0
298,298,64.0,82.0
299,299,75.0,70.0
300,300,58.0,57.0
301,301,62.0,58.0
302,302,65.0,56.0
303,303,80.0,69.0
304,304,88.0,71.0
305,305,59.0,60.0
306,306,58.0,59.0
307,307,62.0,59.0
308,308,68.0,64.0
309,309,59.0,82.0
310,310,87.0,77.0
311,311,72.0,76.0
312,312,58.0,37.0
313,313,65.0,66.0
314,314,57.0,65.0
315,315,57.0,90.0
316,316,62.0,67.0
317,317,67.0,61.0
318,318,48.0,57.0
319,319,78.0,61.0
320,320,56.0,69.0
321,321,64.0,61.0
322,322,66.0,86.0
323,323,62.0,76.0
324,324,72.0,63.0
325,325,69.0,61.0
326,326,64.0,67.0
327,327,46.0,48.0
328,328,70.0,62.0
329,329,73.0,62.0
330,330,58.0,55.0
331,331,60.0,69.0
332,332,63.0,77.0
333,333,96.0,68.0
334,334,66.0,67.0
335,335,69.0,72.0
336,336,64.0,46.0
337,337,66.0,54.0
338,338,68.0,72.0
339,339,74.0,67.0
340,340,66.0,57.0
341,341,64.0,72.0
342,342,67.0,70.0
343,343,74.0,71.0
344,344,80.0,57.0
345,345,53.0,48.0
346,346,88.0,75.0
347,347,48.0,54.0
348,348,52.0,58.0
349,349,84.0,82.0
350,350,83.0,65.0
351,351,79.0,70.0
352,352,56.0,65.0
353,353,51.0,41.0
354,354,62.0,69.0
355,355,72.0,87.0
356,356,78.0,74.0
357,357,64.0,66.0
358,358,66.0,58.0
