,mid,lh_radiant,lh_dire
0,0,686,968
1,1,831,765
2,2,899,527
3,3,664,792
4,4,721,614
5,5,597,707
6,6,817,624
7,7,773,612
8,8,869,772
9,9,672,707
10,10,614,701
11,11,860,855
12,12,706,847
13,13,778,908
14,14,818,688
15,15,730,703
16,16,337,577
17,17,615,670
18,18,660,608
19,19,658,684
20,20,566,776
21,21,686,585
22,22,720,539
23,23,499,452
24,24,764,667
25,25,719,574
26,26,1029,588
27,27,740,878
28,28,779,604
29,29,776,812
30,30,705,687
31,31,413,506
32,32,676,503
33,33,850,570
34,34,817,679
35,35,657,1088
36,36,654,880
37,37,430,307
38,38,616,633
39,39,691,549
40,40,740,868
41,41,882,733
42,42,618,605
43,43,584,570
44,44,589,659
45,45,865,493
46,46,641,693
47,47,624,564
48,48,863,914
49,49,875,1012
50,50,610,641
51,51,415,673
52,52,817,367
53,53,925,500
54,54,633,709
55,55,1177,797
56,56,837,420
57,57,620,659
58,58,903,549
59,59,824,693
60,60,698,906
61,61,334,524
62,62,757,1038
63,63,630,655
64,64,407,448
65,65,634,682
66,66,471,607
67,67,589,598
68,68,433,469
69,69,582,729
70,70,681,485
71,71,933,867
72,72,628,930
73,73,635,735
74,74,664,661
75,75,916,948
76,76,789,584
77,77,598,593
78,78,859,776
79,79,457,872
80,80,439,805
81,81,794,733
82,82,747,960
83,83,675,795
84,84,832,655
85,85,769,760
86,86,653,751
87,87,901,738
88,88,511,793
89,89,595,805
90,90,893,497
91,91,730,713
92,92,816,494
93,93,738,763
94,94,770,783
95,95,708,783
96,96,473,775
97,97,667,587
98,98,703,492
99,99,690,490
100,100,667,646
101,101,617,693
102,102,690,660
103,103,617,731
104,104,589,734
105,105,791,769
106,106,678,656
107,107,919,656
108,108,478,479
109,109,675,631
110,110,674,593
111,111,497,592
112,112,747,784
113,113,784,759
114,114,709,705
115,115,826,712
116,116,500,560
117,117,902,976
118,118,947,669
119,119,669,738
120,120,554,582
121,121,882,657
122,122,702,1096
123,123,693,532
124,124,694,773
125,125,465,449
126,126,901,588
127,127,527,687
128,128,1015,643
129,129,766,597
130,130,593,886
131,131,1101,706
132,132,815,552
133,133,680,1089
134,134,783,848
135,135,542,577
136,136,704,857
137,137,723,825
138,138,380,569
139,139,669,451
140,140,725,860
141,141,528,984
142,142,790,567
143,143,681,690
144,144,585,926
145,145,554,680
146,146,432,468
147,147,629,483
148,148,759,927
149,149,497,560
150,150,1313,800
151,151,643,876
152,152,804,518
153,153,531,765
154,154,800,848
