,mid,xp_radiant,xp_dire
0,0,82179,78858
1,1,75564,85027
2,2,92312,65559
3,3,77868,74250
4,4,76865,75597
5,5,60437,86825
6,6,83436,80923
7,7,82170,83837
8,8,79214,79571
9,9,77041,82858
10,10,76360,83849
11,11,85194,82052
12,12,79313,94339
13,13,70674,86525
14,14,83473,86724
15,15,71476,72162
16,16,67271,78433
17,17,63393,85019
18,18,74062,69242
19,19,72662,80459
20,20,77537,83609
21,21,74929,77070
22,22,91891,68597
23,23,73423,75931
24,24,76604,69854
25,25,85080,71057
26,26,93471,76153
27,27,78404,79921
28,28,76131,85697
29,29,85978,76119
30,30,75845,75447
31,31,73640,66465
32,32,81662,66108
33,33,94465,80379
34,34,78091,66999
35,35,75617,91698
36,36,71866,85585
37,37,74492,76705
38,38,79952,74048
39,39,76910,70647
40,40,82254,80056
41,41,85007,69593
42,42,71306,70233
43,43,63282,75616
44,44,73134,68094
45,45,84757,62599
46,46,68957,70333
47,47,76917,75269
48,48,81011,87633
49,49,78428,86115
50,50,70304,64404
51,51,52632,89477
52,52,91284,66168
53,53,87435,73582
54,54,68618,79051
55,55,95119,76553
56,56,81740,74094
57,57,84812,78830
58,58,94843,78850
59,59,75344,82345
60,60,73947,86173
61,61,64713,77888
62,62,78779,96368
63,63,85448,73154
64,64,66153,71465
65,65,67914,70695
66,66,63559,101239
67,67,69349,78348
68,68,66047,71508
69,69,75437,72431
70,70,76834,71916
71,71,81602,76931
72,72,66153,86678
73,73,70088,85854
74,74,77964,74491
75,75,87862,86467
76,76,83126,74913
77,77,69381,74035
78,78,76943,72886
79,79,72304,82421
80,80,61758,86812
81,81,82796,78357
82,82,83423,79692
83,83,78578,78948
84,84,82892,83621
85,85,81199,75490
86,86,80953,93452
87,87,92979,75574
88,88,65413,77571
89,89,71272,88430
90,90,85271,58818
91,91,83889,60987
92,92,82857,66656
93,93,69885,81881
94,94,86676,87689
95,95,65238,76605
96,96,74522,80191
97,97,79702,69503
98,98,83531,55158
99,99,80846,84648
100,100,80230,76795
101,101,83912,86745
102,102,75323,71952
103,103,63522,75825
104,104,72255,78434
105,105,82051,84617
106,106,73002,82905
107,107,88809,78823
108,108,69697,72000
109,109,80084,75654
110,110,83002,72526
111,111,71893,75180
112,112,76563,75563
113,113,84588,82694
114,114,78562,84200
115,115,80705,84651
116,116,68238,76355
117,117,87091,88958
118,118,87008,71752
119,119,74259,76790
120,120,81608,79219
121,121,79097,70944
122,122,71284,103100
123,123,90282,72587
124,124,89655,87847
125,125,80721,56316
126,126,84631,63302
127,127,67193,72003
128,128,93377,80196
129,129,78269,77924
130,130,76411,99016
131,131,82251,71129
132,132,82479,72927
133,133,69079,90134
134,134,89027,80573
135,135,78053,66728
136,136,72059,80382
137,137,77437,82264
138,138,63023,75082
139,139,75821,67365
140,140,72662,86678
141,141,63261,84580
142,142,94944,70972
143,143,74788,76400
144,144,68046,85436
145,145,69997,76739
146,146,73158,79415
147,147,91018,70509
148,148,79736,80076
149,149,78884,92043
150,150,93757,88468
151,151,81581,77713
152,152,79230,77644
153,153,63984,78976
154,154,79577,74797
155,155,93613,98241
156,156,83935,58083
157,157,80410,81526
158,158,85039,74994
159,159,94935,80211
160,160,76496,90307
161,161,71104,74782
162,162,93460,83499
163,163,69682,101408
164,164,74353,70246
165,165,73005,86449
166,166,91657,84150
167,167,88909,86936
168,168,72817,84466
169,169,79506,86354
170,170,73082,81062
171,171,68868,86226
172,172,76083,77840
173,173,75204,48737
174,174,84077,67857
175,175,83068,77800
176,176,81297,73541
177,177,75226,67228
178,178,78663,78319
179,179,85302,68157
180,180,68716,75775
181,181,76820,75115
182,182,74749,70854
183,183,72222,83960
184,184,91619,83283
185,185,88846,72808
186,186,72842,78696
187,187,75385,79102
188,188,66402,80796
189,189,84766,68163
190,190,77723,68209
191,191,77676,73167
192,192,67386,79736
193,193,77429,75070
194,194,77279,65827
195,195,74424,80883
196,196,92469,67831
197,197,87016,79511
198,198,73494,76644
199,199,68657,79092
200,200,70744,92410
201,201,74074,72104
202,202,83568,76796
203,203,75654,91005
204,204,76333,84907
205,205,73744,94670
206,206,79092,78652
207,207,73434,79254
208,208,81431,71135
209,209,74944,67483
210,210,77559,69962
211,211,76742,73094
212,212,75493,90096
213,213,76186,79440
214,214,77752,76825
215,215,70994,76877
216,216,78981,80710
217,217,75122,76593
218,218,76512,79360
219,219,74839,85440
220,220,74187,75332
221,221,71346,87077
222,222,75637,84099
223,223,68006,77016
224,224,66538,86104
225,225,85813,73801
226,226,78751,67185
227,227,81844,76026
228,228,78153,71527
229,229,69287,74669
230,230,71888,80250
231,231,81196,82648
232,232,80538,74997
233,233,71094,85583
234,234,72373,76416
235,235,79849,75837
236,236,82859,76001
237,237,86062,76581
238,238,78809,69712
239,239,82478,74173
240,240,85867,77850
241,241,76701,86656
242,242,79318,90921
243,243,73550,83606
244,244,74928,74127
245,245,81111,80523
246,246,74831,89554
247,247,76497,80346
248,248,81431,65935
249,249,74657,75612
250,250,73214,75752
251,251,64083,74067
252,252,87046,71255
253,253,66088,83402
254,254,88106,65496
255,255,72632,52615
256,256,75902,71032
257,257,68796,70908
258,258,76540,84370
259,259,67863,87550
260,260,83143,67318
261,261,72981,60043
262,262,62757,80624
263,263,73184,85818
264,264,87394,85086
265,265,73919,88879
266,266,69935,73774
267,267,79935,71556
268,268,69887,80249
269,269,78100,75638
270,270,73280,74726
271,271,78405,70535
272,272,62370,83932
273,273,68807,74605
274,274,85052,68848
275,275,66447,93926
276,276,85347,84782
277,277,89499,70414
278,278,80979,84882
279,279,67849,74821
280,280,81241,75033
281,281,87993,79330
282,282,88422,98251
283,283,77325,74253
284,284,80677,85564
285,285,86003,79828
286,286,70189,81647
287,287,75414,86976
288,288,83678,73370
289,289,71455,78462
290,290,72684,87312
291,291,63823,83913
292,292,82443,75501
293,293,67327,77184
294,294,80740,86700
295,295,81253,77717
296,296,78714,70683
297,297,76727,87340
298,298,70263,74547
299,299,75014,86343
300,300,85609,88869
301,301,72704,89053
302,302,68123,79349
303,303,71584,71024
304,304,80150,62956
305,305,76534,69568
306,306,78249,76025
307,307,72805,75314
308,308,74229,80367
309,309,71853,107908
310,310,88141,88369
311,311,83115,97436
312,312,87568,70885
313,313,70188,92841
314,314,84163,82842
315,315,77025,73471
316,316,79020,75192
317,317,79192,87000
318,318,72894,73434
319,319,62318,77934
320,320,69334,80416
321,321,80094,74610
322,322,71854,95827
323,323,77819,76890
324,324,89642,87332
325,325,73998,71232
326,326,75008,79068
327,327,81105,82029
328,328,70376,75192
329,329,74755,84070
330,330,85348,62891
331,331,71975,89040
332,332,76274,85602
333,333,90421,77374
334,334,84875,83615
335,335,74113,84089
336,336,80553,62523
337,337,86237,81395
338,338,73327,74355
339,339,94985,75273
340,340,70592,79346
341,341,68903,87842
342,342,83279,89782
343,343,69937,88596
344,344,88515,73279
345,345,89128,81312
346,346,92398,81090
347,347,80297,71965
348,348,76395,79996
349,349,80366,96160
350,350,76622,77138
351,351,84615,78544
352,352,84086,79640
353,353,75310,67940
354,354,77361,78582
355,355,77552,77462
356,356,74482,80241
357,357,68955,72461
358,358,72736,82350
359,359,72274,73807
360,360,78526,72477
361,361,86398,71881
362,362,83210,59042
363,363,81017,69522
364,364,72407,79174
365,365,83460,75039
366,366,77766,84174
367,367,73117,71224
368,368,75177,78048
369,369,101489,77689
370,370,86701,78439
371,371,63932,81713
372,372,79771,69301
373,373,63609,80419
374,374,85426,67979
375,375,72333,81283
376,376,74833,69675
377,377,94333,76781
378,378,78842,82999
379,379,86231,78026
380,380,66859,86081
381,381,74633,72876
382,382,77720,79460
383,383,83008,80530
384,384,68396,78591
385,385,88380,76151
386,386,69903,81954
387,387,70912,76438
388,388,85324,73406
389,389,80492,67445
390,390,88198,89051
391,391,79256,81563
392,392,76520,79154
393,393,93021,72087
394,394,73924,74895
395,395,80881,79532
396,396,69007,85636
397,397,72314,76994
398,398,72992,85775
399,399,83363,91984
400,400,85044,78895
401,401,90448,76917
402,402,75115,77770
403,403,77641,73668
404,404,90018,75186
405,405,82932,72468
406,406,80795,71058
407,407,79572,64671
408,408,64938,85519
409,409,75048,62510
410,410,83215,92557
411,411,81422,84650
412,412,77856,75396
413,413,77823,75416
414,414,73042,88513
415,415,87189,66429
416,416,73298,67699
417,417,87622,77439
418,418,82085,88699
419,419,77714,73066
420,420,91345,81117
421,421,77628,86683
422,422,78259,76720
423,423,80035,85020
424,424,81842,70069
425,425,77792,71425
426,426,77455,84830
427,427,76845,77430
428,428,92558,99657
429,429,73171,82598
430,430,72197,89240
431,431,66461,66353
432,432,72569,82953
433,433,84918,101600
434,434,80021,66326
435,435,86687,82498
436,436,72271,81404
437,437,82343,82561
438,438,75014,87239
439,439,70269,86972
440,440,72523,92085
441,441,66803,82044
442,442,79543,83558
443,443,69265,85106
444,444,77582,77518
445,445,75964,70656
446,446,73709,82547
447,447,84414,84025
448,448,78849,80907
449,449,78337,78436
450,450,85763,77997
451,451,76604,84563
452,452,84057,75431
453,453,91406,81230
454,454,68492,67055
455,455,72719,85051
456,456,73219,80154
457,457,81024,79090
458,458,81463,78384
459,459,67849,66548
460,460,92135,76760
461,461,93602,86217
462,462,69995,81893
463,463,82933,76992
464,464,78732,78360
465,465,76660,81274
466,466,87741,78720
467,467,81809,78601
468,468,83770,68195
469,469,70676,84526
470,470,74278,78955
471,471,72636,70722
472,472,83793,78929
473,473,76900,60895
474,474,83992,84569
475,475,76756,74928
476,476,70292,83059
477,477,68219,83825
478,478,69171,77064
479,479,89579,66911
480,480,84762,72228
481,481,81931,69011
482,482,81144,73443
483,483,89777,73095
484,484,85864,82571
485,485,83049,84906
486,486,86718,83526
487,487,80909,75165
488,488,73217,75221
489,489,78900,75216
490,490,71254,69336
491,491,71265,87041
492,492,73274,69843
493,493,71632,73022
494,494,73988,84848
495,495,76144,79264
496,496,84634,82851
497,497,80718,73657
498,498,72735,79679
499,499,74509,87956
500,500,70985,84014
501,501,85800,88895
502,502,74790,85792
503,503,67653,81957
504,504,76696,76250
505,505,92239,62864
506,506,74179,78729
507,507,87615,78838
508,508,78431,73267
509,509,72349,69169
510,510,72054,95656
511,511,77861,76269
512,512,70717,86450
513,513,91786,78883
514,514,76206,73229
515,515,77404,79532
516,516,74949,80498
517,517,83268,70641
518,518,76466,88625
519,519,88252,71831
520,520,66470,91908
521,521,76472,76803
522,522,83078,73711
523,523,88651,71697
524,524,81888,80482
525,525,78964,72307
526,526,82135,79713
527,527,62282,77577
528,528,62974,87260
529,529,77710,79991
530,530,75083,72917
531,531,85385,75085
532,532,83207,78589
533,533,82442,68133
534,534,81061,77062
535,535,74621,84237
536,536,75958,84892
